iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
880,25.3129,0.6153,0.1981,0.010694,0.0021,0.3755,0.9997,0.6038,0.027737,0.124290,0.847973,0.976305,0.017077,0.006618
890,25.3387,0.6176,0.2057,0.010669,0.0019,0.4526,0.9997,0.6102,0.027657,0.123698,0.848644,0.976859,0.016638,0.006502
900,25.3634,0.6201,0.2137,0.010644,0.0021,0.3664,0.9997,0.6368,0.027557,0.123051,0.849392,0.977426,0.016197,0.006377
910,25.3807,0.6227,0.2218,0.010621,0.0022,0.3098,0.9997,0.6521,0.027439,0.122355,0.850206,0.977995,0.015760,0.006245
920,25.3937,0.6254,0.2296,0.010600,0.0023,0.2284,0.9997,0.6497,0.027301,0.121621,0.851078,0.978568,0.015325,0.006108
930,25.3987,0.6278,0.2367,0.010581,0.0027,0.1179,0.9997,0.6398,0.027147,0.120855,0.851998,0.979125,0.014908,0.005967
940,25.3963,0.6301,0.2440,0.010566,0.0027,0.1246,0.9997,0.6162,0.026980,0.120066,0.852954,0.979664,0.014512,0.005824
950,25.3815,0.6321,0.2509,0.010553,0.0027,0.1065,0.9996,0.5532,0.026802,0.119258,0.853940,0.980177,0.014140,0.005683
960,25.3570,0.6339,0.2585,0.010544,0.0029,0.0789,0.9996,0.4818,0.026615,0.118431,0.854955,0.980676,0.013785,0.005539
970,25.3203,0.6353,0.2658,0.010539,0.0025,0.1569,0.9996,0.4199,0.026417,0.117589,0.855994,0.981156,0.013448,0.005396
980,25.2739,0.6363,0.2725,0.010538,0.0028,0.0965,0.9996,0.3521,0.026211,0.116735,0.857055,0.981619,0.013126,0.005255
990,25.2293,0.6373,0.2792,0.010539,0.0028,0.0908,0.9995,0.2622,0.025997,0.115872,0.858131,0.982072,0.012815,0.005113
