iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
640,25.1964,0.6210,0.1351,0.010910,0.0012,0.9189,0.9996,0.4820,0.026797,0.124572,0.848630,0.968576,0.024663,0.006762
650,25.1787,0.6194,0.1361,0.010909,0.0012,0.9309,0.9996,0.4826,0.026960,0.124570,0.848470,0.968500,0.024699,0.006800
660,25.1671,0.6182,0.1366,0.010908,0.0013,0.9178,0.9996,0.4847,0.027121,0.124568,0.848311,0.968424,0.024737,0.006839
670,25.1546,0.6171,0.1372,0.010907,0.0012,0.9235,0.9996,0.4866,0.027280,0.124567,0.848153,0.968343,0.024777,0.006879
680,25.1377,0.6156,0.1384,0.010906,0.0012,0.9345,0.9996,0.4874,0.027438,0.124567,0.847995,0.968251,0.024829,0.006920
690,25.1216,0.6143,0.1391,0.010905,0.0013,0.9029,0.9996,0.4873,0.027595,0.124566,0.847838,0.968154,0.024882,0.006964
700,25.1078,0.6131,0.1398,0.010904,0.0013,0.8881,0.9996,0.4866,0.027751,0.124567,0.847683,0.968067,0.024930,0.007003
710,25.0909,0.6117,0.1405,0.010903,0.0014,0.8522,0.9996,0.4860,0.027907,0.124567,0.847526,0.967963,0.024992,0.007045
720,25.0704,0.6101,0.1417,0.010902,0.0014,0.8381,0.9996,0.4844,0.028061,0.124568,0.847371,0.967855,0.025055,0.007090
730,25.0562,0.6089,0.1421,0.010901,0.0014,0.8331,0.9996,0.4826,0.028215,0.124569,0.847216,0.967756,0.025112,0.007131
740,25.0396,0.6076,0.1429,0.010900,0.0015,0.7905,0.9996,0.4810,0.028369,0.124570,0.847061,0.967651,0.025176,0.007173
750,25.0275,0.6065,0.1432,0.010899,0.0015,0.7980,0.9996,0.4796,0.028521,0.124572,0.846907,0.967569,0.025220,0.007212
760,25.0076,0.6050,0.1444,0.010898,0.0015,0.7501,0.9996,0.4793,0.028673,0.124574,0.846752,0.967453,0.025293,0.007255
770,24.9935,0.6037,0.1450,0.010897,0.0016,0.7110,0.9996,0.4799,0.028825,0.124576,0.846599,0.967354,0.025350,0.007295
780,24.9773,0.6024,0.1454,0.010896,0.0016,0.6697,0.9996,0.4818,0.028976,0.124579,0.846445,0.967256,0.025410,0.007334
790,24.9572,0.6008,0.1470,0.010895,0.0016,0.6694,0.9996,0.4841,0.029126,0.124582,0.846292,0.967148,0.025477,0.007375
