iter,loss,low_norm,mid_norm,high_norm,low_frac,mid_frac,high_frac
175,0.011045,0.389698,0.043071,0.066554,0.960262,0.011730,0.028008
176,0.011044,0.388071,0.042896,0.066566,0.960023,0.011730,0.028247
177,0.011042,0.386370,0.042817,0.066493,0.959786,0.011787,0.028426
178,0.011041,0.384894,0.042755,0.066511,0.959509,0.011840,0.028652
179,0.011040,0.383333,0.042625,0.066361,0.959386,0.011862,0.028752
180,0.011039,0.381676,0.042592,0.066420,0.959015,0.011942,0.029043
181,0.011038,0.380063,0.042446,0.066512,0.958682,0.011958,0.029360
182,0.011037,0.378606,0.042352,0.066401,0.958522,0.011994,0.029483
183,0.011036,0.377203,0.042242,0.066378,0.958306,0.012018,0.029676
184,0.011035,0.375709,0.042066,0.066345,0.958112,0.012011,0.029877
185,0.011035,0.374384,0.042048,0.066270,0.957903,0.012083,0.030014
186,0.011034,0.373182,0.041895,0.066108,0.957869,0.012073,0.030059
187,0.011033,0.371790,0.041733,0.066141,0.957627,0.012066,0.030307
188,0.011032,0.370290,0.041731,0.066123,0.957315,0.012159,0.030527
189,0.011031,0.368867,0.041637,0.066142,0.957035,0.012194,0.030771
190,0.011030,0.367399,0.041571,0.066153,0.956733,0.012249,0.031018
191,0.011029,0.366009,0.041496,0.066026,0.956575,0.012296,0.031129
192,0.011028,0.364558,0.041382,0.065990,0.956342,0.012323,0.031335
193,0.011027,0.363407,0.041249,0.065885,0.956249,0.012320,0.031431
194,0.011027,0.362077,0.041196,0.065952,0.955910,0.012374,0.031716
195,0.011026,0.360775,0.041148,0.065931,0.955652,0.012432,0.031916
196,0.011025,0.359545,0.041061,0.065885,0.955456,0.012461,0.032083
197,0.011024,0.358246,0.040980,0.065888,0.955191,0.012499,0.032311
198,0.011023,0.356869,0.040849,0.065890,0.954935,0.012512,0.032553
199,0.011022,0.355535,0.040773,0.065903,0.954644,0.012555,0.032801
200,0.011022,0.354352,0.040704,0.065754,0.954538,0.012595,0.032867
201,0.011021,0.352979,0.040635,0.065761,0.954233,0.012646,0.033120
202,0.011020,0.351824,0.040574,0.065788,0.953956,0.012688,0.033356
203,0.011019,0.350734,0.040474,0.065707,0.953822,0.012702,0.033476
204,0.011019,0.349485,0.040415,0.065614,0.953634,0.012753,0.033614
205,0.011018,0.348111,0.040389,0.065622,0.953292,0.012833,0.033875
206,0.011017,0.346935,0.040302,0.065675,0.952989,0.012860,0.034150
207,0.011016,0.345786,0.040203,0.065616,0.952811,0.012880,0.034309
208,0.011016,0.344784,0.040145,0.065560,0.952641,0.012915,0.034444
209,0.011015,0.343513,0.040051,0.065595,0.952329,0.012946,0.034725
210,0.011014,0.342370,0.040000,0.065549,0.952103,0.012996,0.034900
211,0.011014,0.341373,0.039926,0.065493,0.951940,0.013022,0.035038
212,0.011013,0.340165,0.039880,0.065524,0.951612,0.013080,0.035309
