iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum,psnr,ssim,lpips
112,0.011162,0.998222,1.000000,65531.578125,0.015840383,0.12544319,0.85871637,0.001343,0.869859,0.002560,0.000506,-0.000019,0.006616,,,
113,0.011159,0.998208,1.000000,65531.609375,0.015848085,0.12544225,0.85870963,0.001310,0.888157,0.006542,0.000497,-0.000011,0.006647,,,
114,0.011155,0.998194,1.000000,65531.640625,0.015855866,0.1254413,0.85870284,0.001327,0.879017,0.003381,0.000503,-0.000003,0.006678,,,
115,0.011152,0.998180,1.000000,65531.664062,0.015863705,0.12544033,0.8586959,0.001331,0.876745,0.002252,0.000503,0.000005,0.006718,,,
116,0.011149,0.998166,1.000000,65531.687500,0.015871607,0.12543939,0.85868907,0.001336,0.873564,0.004759,0.000500,0.000013,0.006765,,,
117,0.011146,0.998152,1.000000,65531.710938,0.01587957,0.12543844,0.85868204,0.001349,0.865996,0.008497,0.000490,0.000021,0.006811,,,
118,0.011143,0.998138,1.000000,65531.734375,0.015887603,0.12543745,0.85867494,0.001377,0.849464,0.003809,0.000497,0.000029,0.006857,,,
119,0.011140,0.998124,1.000000,65531.726562,0.015895713,0.12543648,0.8586678,0.001343,0.869872,0.003937,0.000478,0.000037,0.006904,,,
120,0.011137,0.998110,1.000000,65531.710938,0.015903916,0.12543552,0.85866064,0.001351,0.865014,0.002695,0.000476,0.000046,0.006950,24.630481,0.6278785,0.130514
121,0.011134,0.998096,1.000000,65531.726562,0.015912205,0.1254345,0.85865325,0.001340,0.871312,0.003112,0.000480,0.000054,0.006997,,,
122,0.011131,0.998082,1.000000,65531.710938,0.015920589,0.12543352,0.85864586,0.001365,0.856747,0.003925,0.000481,0.000063,0.007043,,,
123,0.011129,0.998067,1.000000,65531.695312,0.015929068,0.12543252,0.8586384,0.001365,0.856704,0.004990,0.000476,0.000071,0.007090,,,
124,0.011126,0.998053,1.000000,65531.687500,0.015937647,0.12543151,0.85863084,0.001366,0.855852,0.004428,0.000480,0.000080,0.007137,,,
125,0.011124,0.998039,1.000000,65531.671875,0.015946325,0.12543048,0.8586232,0.001346,0.867766,0.002629,0.000489,0.000089,0.007185,,,
126,0.011121,0.998025,1.000000,65531.640625,0.015955094,0.12542945,0.85861546,0.001331,0.876644,0.002694,0.000486,0.000098,0.007233,,,
127,0.011119,0.998010,1.000000,65531.625000,0.015963959,0.12542841,0.85860765,0.001335,0.874040,0.002651,0.000473,0.000107,0.007281,,,
128,0.011117,0.997996,1.000000,65531.578125,0.015972914,0.12542738,0.8585997,0.001342,0.870076,0.003593,0.000478,0.000116,0.007330,,,
129,0.011114,0.997982,1.000000,65531.562500,0.015981957,0.1254263,0.8585917,0.001350,0.865784,0.004864,0.000480,0.000125,0.007379,,,
130,0.011112,0.997967,1.000000,65531.523438,0.015991086,0.12542523,0.8585837,0.001363,0.857886,0.004245,0.000477,0.000134,0.007428,24.719466,0.6301629,0.129349
131,0.011110,0.997953,1.000000,65531.500000,0.01600031,0.12542416,0.8585755,0.001389,0.842000,0.002798,0.000471,0.000143,0.007478,,,
132,0.011108,0.997938,1.000000,65531.453125,0.016009621,0.12542307,0.8585673,0.001413,0.826621,0.004243,0.000473,0.000153,0.007528,,,
133,0.011106,0.997924,1.000000,65531.421875,0.016019024,0.12542197,0.858559,0.001428,0.817149,0.006390,0.000482,0.000162,0.007578,,,
134,0.011104,0.997909,1.000000,65531.398438,0.016028527,0.12542087,0.85855055,0.001439,0.809795,0.002270,0.000493,0.000172,0.007629,,,
135,0.011102,0.997895,1.000000,65531.343750,0.01603813,0.12541975,0.85854214,0.001434,0.813002,0.003474,0.000490,0.000182,0.007680,,,
136,0.011100,0.997880,1.000000,65531.312500,0.016047847,0.12541862,0.8585335,0.001415,0.825393,0.006363,0.000484,0.000192,0.007731,,,
137,0.011098,0.997866,1.000000,65531.273438,0.01605768,0.12541746,0.85852486,0.001428,0.817051,0.004210,0.000487,0.000202,0.007783,,,
138,0.011096,0.997851,1.000000,65531.250000,0.016067639,0.12541631,0.85851604,0.001432,0.814548,0.004952,0.000479,0.000212,0.007836,,,
139,0.011094,0.997836,1.000000,65531.218750,0.016077729,0.12541513,0.8585071,0.001447,0.804361,0.002735,0.000490,0.000222,0.007889,,,
140,0.011092,0.997822,1.000000,65531.164062,0.016087964,0.12541395,0.85849804,0.001470,0.788694,0.004709,0.000488,0.000232,0.007943,24.796649,0.63225126,0.128158
141,0.011091,0.997806,1.000000,65531.140625,0.016098343,0.12541272,0.8584889,0.001459,0.796263,0.002345,0.000487,0.000243,0.007997,,,
